"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.365508380E-1,3.351882473E-2,7.900865376E-2,9.844957352E0,9.845331439E0
1.383909230E-1,4.070143029E-2,7.661445439E-2,9.823410034E0,9.823793111E0
1.405485770E-1,4.070143029E-2,7.900865376E-2,9.811438560E0,9.811841091E0
1.423978460E-1,3.591302410E-2,8.858546615E-2,9.799467087E0,9.799933281E0
1.445463140E-1,3.351882473E-2,8.140286058E-2,9.797073364E0,9.797468879E0
1.463670770E-1,2.873042040E-2,9.097966552E-2,9.811438560E0,9.811902433E0
1.485440520E-1,0.000000000E0,6.703764945E-2,9.825803757E0,9.826032440E0
1.504503460E-1,1.436521020E-2,5.506663769E-2,9.799467087E0,9.799632334E0
1.525112730E-1,4.788403399E-3,6.943184882E-2,9.813833237E0,9.814080013E0
1.543438850E-1,4.788403399E-3,7.661445439E-2,9.813833237E0,9.814133456E0
1.565090110E-1,2.633621916E-2,7.422025502E-2,9.818621635E0,9.818937471E0
1.583268080E-1,2.394201607E-2,8.140286058E-2,9.840168953E0,9.840534776E0
1.605067490E-1,1.436521020E-2,8.619125932E-2,9.832986832E0,9.833375073E0
1.623569620E-1,-2.394201700E-3,6.464344263E-2,9.816226959E0,9.816440099E0
1.644739700E-1,7.182605099E-3,9.337386489E-2,9.804255486E0,9.804702744E0
1.663593850E-1,9.576806799E-3,9.576806426E-2,9.811438560E0,9.811910612E0
1.684717080E-1,3.112462163E-2,1.029506698E-1,9.825803757E0,9.826392372E0
1.704094620E-1,3.830722719E-2,1.197100878E-1,9.818621635E0,9.819426092E0
1.724694450E-1,3.351882473E-2,1.077390760E-1,9.821015358E0,9.821663499E0
1.743371540E-1,2.154781483E-2,1.029506698E-1,9.818621635E0,9.819184995E0
1.764366660E-1,7.182605099E-3,9.576806426E-2,9.818621635E0,9.819091299E0
1.783233850E-1,1.436521020E-2,1.101332754E-1,9.818621635E0,9.819249794E0
1.804344040E-1,1.436521020E-2,1.173158810E-1,9.823410034E0,9.824121033E0
1.822480380E-1,1.436521020E-2,9.816227108E-2,9.818621635E0,9.819122823E0
1.844321420E-1,9.576806799E-3,9.337386489E-2,9.816226959E0,9.816675716E0
1.862431920E-1,1.436521020E-2,1.005564705E-1,9.811438560E0,9.811964359E0
1.884298800E-1,2.633621916E-2,8.619125932E-2,9.818621635E0,9.819035256E0
1.903643080E-1,1.915361360E-2,6.943184882E-2,9.821015358E0,9.821279464E0
1.923971010E-1,2.394201607E-2,7.422025502E-2,9.823410034E0,9.823719589E0
1.943180770E-1,1.436521020E-2,7.182604820E-2,9.849745750E0,9.850018106E0
1.963948380E-1,2.154781483E-2,7.661445439E-2,9.849745750E0,9.850067281E0
1.981984620E-1,2.154781483E-2,9.097966552E-2,9.816226959E0,9.816672212E0
2.003925760E-1,2.394201607E-2,8.140286058E-2,9.804255486E0,9.804622648E0
2.022043850E-1,-2.394201700E-3,6.703764945E-2,9.809044838E0,9.809274204E0
2.043903140E-1,4.788403399E-3,6.943184882E-2,9.828198433E0,9.828444849E0
2.061932310E-1,2.154781483E-2,6.224924326E-2,9.844957352E0,9.845177730E0
2.083575350E-1,2.873042040E-2,7.182604820E-2,9.844957352E0,9.845261280E0
2.103151540E-1,5.027823523E-2,7.182604820E-2,9.828198433E0,9.828589488E0
2.123552730E-1,5.267243832E-2,6.943184882E-2,9.813833237E0,9.814220191E0
2.141692310E-1,2.633621916E-2,8.379705995E-2,9.811438560E0,9.811831744E0
2.163530110E-1,3.112462163E-2,9.097966552E-2,9.825803757E0,9.826274243E0
2.181647310E-1,2.394201607E-2,1.125274822E-1,9.844957352E0,9.845629533E0
2.203202320E-1,1.675941236E-2,1.053448766E-1,9.847352028E0,9.847929751E0
2.221524230E-1,1.675941236E-2,1.053448766E-1,9.847352028E0,9.847929751E0
2.243179690E-1,7.182605099E-3,1.029506698E-1,9.821015358E0,9.821557570E0
2.262374610E-1,1.197100803E-2,9.816227108E-2,9.804255486E0,9.804754192E0
2.283157070E-1,3.112462163E-2,1.149216816E-1,9.818621635E0,9.819343489E0
2.302993180E-1,2.873042040E-2,1.125274822E-1,9.821015358E0,9.821702018E0
2.323134450E-1,1.675941236E-2,1.125274822E-1,9.828198433E0,9.828856889E0
2.341144610E-1,4.788403399E-3,1.125274822E-1,9.816226959E0,9.816873080E0
2.362806660E-1,3.591302410E-2,8.858546615E-2,9.801861763E0,9.802327843E0
2.381431150E-1,3.351882473E-2,9.337386489E-2,9.816226959E0,9.816728269E0
2.402784040E-1,2.633621916E-2,9.337386489E-2,9.830592155E0,9.831070868E0
2.421022690E-1,3.112462163E-2,8.619125932E-2,9.832986832E0,9.833413838E0
2.442761430E-1,2.873042040E-2,9.576806426E-2,9.844957352E0,9.845465058E0
